nemo,run,serie,tipoentidad,row,nombre_cmf
CFIACESA-E,9744,A,FINRE,AAAw+cAAhAABP4UAAn,AMERIS CESL II FONDO DE INVERSIÓN
CFIACESB-E,9744,B,FINRE,AAAw+cAAhAABP4UAAn,AMERIS CESL II FONDO DE INVERSIÓN
CFIACESC-E,9744,C,FINRE,AAAw+cAAhAABP4UAAn,AMERIS CESL II FONDO DE INVERSIÓN
CFIACESI-E,9744,I,FINRE,AAAw+cAAhAABP4UAAn,AMERIS CESL II FONDO DE INVERSIÓN
CFICGGI2-E,9275,A,FINRE,AAAw+cAAhAABP4OAAx,COMPASS GLOBAL INVESTMENTS II FONDO DE INVERSION
CFIPE13A-E,9257,A,FINRE,AAAw+cAAhAABP4PAAo,COMPASS PRIVATE EQUITY XIII FONDO DE INVERSION
CFIPE13B-E,9257,B,FINRE,AAAw+cAAhAABP4PAAo,COMPASS PRIVATE EQUITY XIII FONDO DE INVERSION
CFIPE13C-E,9257,C,FINRE,AAAw+cAAhAABP4PAAo,COMPASS PRIVATE EQUITY XIII FONDO DE INVERSION
CFIIMPE2-E,7276,I,FINRE,AAAw+cAAhAABP4IAAo,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG DIRECT II
CFISECOC-E,9573,C,FINRE,AAAw+cAAhAABP4VAAA,FONDO DE INVERSION SECURITY OAKTREE REAL ESTATE INCOME FUND
CFIBCISCBC,9113,AP,FINRE,AAAw+cAAhAABP4JAA1,BCI SMALL CAP CHILE FONDO DE INVERSION
CFIBCISCCL,9113,AP,FINRE,AAAw+cAAhAABP4JAA1,BCI SMALL CAP CHILE FONDO DE INVERSION
CFILCP9A-E,9621,A,FINRE,AAAw+cAAhAABP4XAAQ,COMPASS LCP IX PRIVATE EQUITY FONDO DE INVERSION
CFILCP9B-E,9621,B,FINRE,AAAw+cAAhAABP4XAAQ,COMPASS LCP IX PRIVATE EQUITY FONDO DE INVERSION
CFILCP9C-E,9621,C,FINRE,AAAw+cAAhAABP4XAAQ,COMPASS LCP IX PRIVATE EQUITY FONDO DE INVERSION
CFILCP9I-E,9621,I,FINRE,AAAw+cAAhAABP4XAAQ,COMPASS LCP IX PRIVATE EQUITY FONDO DE INVERSION
CFILCP9R-E,9621,R,FINRE,AAAw+cAAhAABP4XAAQ,COMPASS LCP IX PRIVATE EQUITY FONDO DE INVERSION
CFICPD2A-E,9324,A,FINRE,AAAw+cAAhAABP4LAA3,COMPASS PRIVATE DEBT II FONDO DE INVERSION
CFICPD2B-E,9324,B,FINRE,AAAw+cAAhAABP4LAA3,COMPASS PRIVATE DEBT II FONDO DE INVERSION
CFIDHS1,7182,UNICA,FINRE,AAAw+cAAhAABP4IAAH,FONDO DE INVERSIÓN ACTIVA DEUDA HIPOTECARIA CON SUBSIDIO HABITACIONAL I
CFIDHS2-A,9082,A,FINRE,AAAw+cAAhAABP4JAAp,FONDO DE INVERSIÓN ACTIVA DEUDA HIPOTECARIA CON SUBSIDIO HABITACIONAL II
CFI-APOXFE,10292,F,FINRE,AAAw+cAAhAABQKHAA1,FONDO DE INVERSIÓN LARRAÍN VIAL APOLLO X
CFI-APOXIE,10292,I,FINRE,AAAw+cAAhAABQKHAA1,FONDO DE INVERSIÓN LARRAÍN VIAL APOLLO X
CFI-APOXPE,10292,P,FINRE,AAAw+cAAhAABQKHAA1,FONDO DE INVERSIÓN LARRAÍN VIAL APOLLO X
CFI-APOXRE,10292,R,FINRE,AAAw+cAAhAABQKHAA1,FONDO DE INVERSIÓN LARRAÍN VIAL APOLLO X
CFILVADV-E,7239,A,FINRE,AAAw+cAAhAABP4CAAu,FONDO DE INVERSION LARRAIN VIAL DOVER
CFILVHVU-E,7197,A,FINRE,AAAw+cAAhAABP4CAAh,FONDO DE INVERSION LARRAIN VIAL HARBOURVEST-US
